TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
"('2022-03-29 17:28:09',)","(-62,)","(51,)","(-218,)"
"('2022-03-29 17:28:09',)","(-63,)","(39,)","(-213,)"
"('2022-03-29 17:28:09',)","(-44,)","(33,)","(-192,)"
"('2022-03-29 17:28:09',)","(-25,)","(33,)","(-198,)"
"('2022-03-29 17:28:09',)","(-21,)","(28,)","(-216,)"
"('2022-03-29 17:28:09',)","(-32,)","(23,)","(-226,)"
"('2022-03-29 17:28:09',)","(-43,)","(22,)","(-211,)"
"('2022-03-29 17:28:09',)","(-53,)","(25,)","(-187,)"
"('2022-03-29 17:28:09',)","(-58,)","(26,)","(-187,)"
"('2022-03-29 17:28:09',)","(-50,)","(19,)","(-205,)"
"('2022-03-29 17:28:08',)","(-31,)","(13,)","(-217,)"
"('2022-03-29 17:28:08',)","(-19,)","(42,)","(-247,)"
"('2022-03-29 17:28:08',)","(-29,)","(62,)","(-239,)"
"('2022-03-29 17:28:08',)","(-47,)","(53,)","(-199,)"
"('2022-03-29 17:28:08',)","(-56,)","(34,)","(-178,)"
"('2022-03-29 17:28:08',)","(-56,)","(34,)","(-179,)"
"('2022-03-29 17:28:08',)","(-50,)","(40,)","(-199,)"
"('2022-03-29 17:28:08',)","(-31,)","(55,)","(-204,)"
"('2022-03-29 17:28:08',)","(-14,)","(62,)","(-189,)"
"('2022-03-29 17:28:08',)","(-21,)","(64,)","(-186,)"
"('2022-03-29 17:28:08',)","(-40,)","(62,)","(-196,)"
"('2022-03-29 17:28:07',)","(-39,)","(35,)","(-191,)"
"('2022-03-29 17:28:07',)","(-64,)","(28,)","(-202,)"
"('2022-03-29 17:28:07',)","(-66,)","(4,)","(-193,)"
"('2022-03-29 17:28:07',)","(-52,)","(0,)","(-194,)"
"('2022-03-29 17:28:06',)","(-56,)","(91,)","(-201,)"
"('2022-03-29 17:28:05',)","(-53,)","(-11,)","(-200,)"
"('2022-03-29 17:28:05',)","(-41,)","(-19,)","(-214,)"
"('2022-03-29 17:28:05',)","(-25,)","(43,)","(-207,)"
"('2022-03-29 17:28:04',)","(-64,)","(62,)","(-209,)"
"('2022-03-29 17:28:04',)","(-62,)","(54,)","(-219,)"
"('2022-03-29 17:28:04',)","(-43,)","(20,)","(-226,)"
"('2022-03-29 17:28:04',)","(-29,)","(-2,)","(-198,)"
"('2022-03-29 17:28:04',)","(-28,)","(4,)","(-166,)"
"('2022-03-29 17:28:04',)","(-34,)","(22,)","(-181,)"
"('2022-03-29 17:28:04',)","(-51,)","(45,)","(-207,)"
"('2022-03-29 17:28:04',)","(-60,)","(41,)","(-216,)"
"('2022-03-29 17:28:04',)","(-60,)","(15,)","(-208,)"
"('2022-03-29 17:28:03',)","(-35,)","(63,)","(-209,)"
"('2022-03-29 17:28:03',)","(-60,)","(54,)","(-210,)"
"('2022-03-29 17:28:03',)","(-59,)","(38,)","(-201,)"
"('2022-03-29 17:28:03',)","(-38,)","(34,)","(-174,)"
"('2022-03-29 17:28:03',)","(-16,)","(41,)","(-175,)"
"('2022-03-29 17:28:03',)","(-20,)","(57,)","(-203,)"
"('2022-03-29 17:28:03',)","(-49,)","(63,)","(-222,)"
"('2022-03-29 17:27:59',)","(-39,)","(-18,)","(-219,)"
"('2022-03-29 17:27:59',)","(4,)","(82,)","(-227,)"
"('2022-03-29 17:27:57',)","(-42,)","(32,)","(-222,)"
"('2022-03-29 17:27:57',)","(-45,)","(38,)","(-242,)"
"('2022-03-29 17:27:57',)","(-43,)","(42,)","(-243,)"
"('2022-03-29 17:27:57',)","(-41,)","(40,)","(-219,)"
"('2022-03-29 17:27:57',)","(-39,)","(35,)","(-201,)"
"('2022-03-29 17:27:57',)","(-38,)","(29,)","(-178,)"
"('2022-03-29 17:27:57',)","(-31,)","(25,)","(-151,)"
"('2022-03-29 17:27:57',)","(-30,)","(25,)","(-158,)"
"('2022-03-29 17:27:56',)","(-38,)","(37,)","(-209,)"
